activity_name,date,type,total_distance_km,total_time_seconds,moving_time_seconds,average_speed_km_h,max_speed_km_h,calories,total_elevation_gain,total_elevation_loss,average_grade,average_heart_rate,max_heart_rate,suffer_score,heart_rate_zone1_time,heart_rate_zone2_time,heart_rate_zone3_time,heart_rate_zone4_time,heart_rate_zone5_time,average_watts,max_watts,normalized_power,total_steps,average_stride_length,average_cadence,start_latitude,start_longitude,start_altitude,end_latitude,end_longitude,end_altitude
Course à pied le matin,2024-07-31T09:19:56Z,Run,22.02,8267,7537,10.52,17.54,N/A,299.8,0,N/A,167.1,184.0,230.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-07-28T19:26:15Z,Run,8.03,2884,2669,10.84,16.21,N/A,118.2,0,N/A,168.9,185.0,90.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied de nuit,2024-07-24T21:05:07Z,Run,5.28,1534,1428,13.31,20.71,N/A,53.9,0,N/A,171.2,185.0,52.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-07-23T20:42:34Z,Run,4.19,1723,1639,9.2,17.68,N/A,3.7,0,N/A,136.4,171.0,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-07-21T15:23:12Z,Run,21.27,6704,6692,11.44,15.56,N/A,141.4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Night Run,2024-07-16T21:18:04Z,Run,5.0,1367,1230,14.64,27.4,N/A,7.2,0,N/A,N/A,N/A,61.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-07-05T18:58:51Z,Run,10.54,3489,3372,11.26,20.32,N/A,72.7,0,N/A,167.7,179.0,107.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-07-03T18:24:26Z,Run,3.82,1443,1425,9.66,14.58,N/A,18.7,0,N/A,139.5,169.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-06-30T11:39:58Z,Run,12.03,4054,3851,11.24,24.48,N/A,64.7,0,N/A,165.7,175.0,109.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-06-28T12:10:30Z,Run,7.62,3488,3370,8.14,29.43,N/A,47.3,0,N/A,132.3,150.0,13.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
